author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Сбербанк,real_estate_agent,https://www.cian.ru/sale/flat/313005124/,Москва,sale,flat,3,10,1,58.0,-1,0,15462500,Кунцево,4-я Мякининская ,27,Строгино,Клубный дом Рублево
Сбербанк,real_estate_agent,https://www.cian.ru/sale/flat/313004957/,Москва,sale,flat,8,10,1,54.1,-1,0,14621700,Кунцево,4-я Мякининская ,27,Строгино,Клубный дом Рублево
Совкомбанк,official_representative,https://www.cian.ru/sale/flat/303370489/,Москва,sale,flat,3,3,1,44.9,-1,0,5800000,, Южная,12,Крёкшино,
Сбербанк,real_estate_agent,https://www.cian.ru/sale/flat/313004944/,Москва,sale,flat,2,10,1,60.5,-1,0,16013800,Кунцево,4-я Мякининская ,27,Строгино,Клубный дом Рублево
Сбербанк,real_estate_agent,https://www.cian.ru/sale/flat/313005151/,Москва,sale,flat,7,10,1,57.9,-1,0,15447200,Кунцево,4-я Мякининская ,27,Строгино,Клубный дом Рублево
ID 57724669,homeowner,https://www.cian.ru/sale/flat/315916888/,Москва,sale,flat,4,10,1,32.9,-1,0,8800000,Гольяново,Уральская ,6К1,Щёлковская,
Сбербанк,real_estate_agent,https://www.cian.ru/sale/flat/313004931/,Москва,sale,flat,2,10,1,55.6,-1,0,14950900,Кунцево,4-я Мякининская ,27,Строгино,Клубный дом Рублево
Сбербанк,real_estate_agent,https://www.cian.ru/sale/flat/313005105/,Москва,sale,flat,4,10,1,57.9,-1,0,15447200,Кунцево,4-я Мякининская ,27,Строгино,Клубный дом Рублево
Акрополь,real_estate_agent,https://www.cian.ru/sale/flat/316283525/,Москва,sale,flat,7,9,1,32.1,-1,0,10300000,Левобережный,Смольная ,39,Беломорская,
Алексей Рыбаков,realtor,https://www.cian.ru/sale/flat/316064725/,Москва,sale,flat,1,5,1,31.4,-1,0,8950000,Измайлово,Измайловский проезд,6К2,Измайловская,
Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/311419733/,Москва,sale,flat,5,12,1,34.1,-1,0,19000000,Обручевский, Академика Челомея,1А,Воронцовская,AFI Park 
ГОРОБМЕН,real_estate_agent,https://www.cian.ru/sale/flat/316244683/,Москва,sale,flat,7,12,1,29.7,-1,0,10900000,Северное Тушино, Фомичевой,8К2,Планерная,
Villagio Realty,real_estate_agent,https://www.cian.ru/sale/flat/316289540/,Москва,sale,flat,2,33,1,50.0,-1,0,22000000,Хорошево-Мневники,Причальный проезд,10к2,Шелепиха,Level Причальный
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,https://www.cian.ru/sale/flat/314469865/,Москва,sale,flat,19,41,1,43.0,-1,0,32500000,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/313966625/,Москва,sale,flat,6,10,1,36.8,-1,0,10000000,Южное Бутово,Южнобутовская ,56,Улица Горчакова,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/315253213/,Москва,sale,flat,30,79,1,78.0,-1,0,92880000,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS
Monumental Group,real_estate_agent,https://www.cian.ru/sale/flat/316110485/,Москва,sale,flat,12,13,1,42.0,-1,0,32500000,Беговой,Ленинградский проспект,29к4,Динамо,Царская площадь
Олег Демидов,realtor,https://www.cian.ru/sale/flat/311849933/,Москва,sale,flat,6,7,1,36.0,-1,0,7500000,Южное Бутово, Адмирала Руднева,20,Бунинская аллея,
Isaev Estate,real_estate_agent,https://www.cian.ru/sale/flat/315042925/,Москва,sale,flat,12,13,1,42.0,-1,0,32500000,Беговой,Ленинградский проспект,29к4,Динамо,Царская площадь
Татьяна Серебрякова,realtor,https://www.cian.ru/sale/flat/314672030/,Москва,sale,flat,14,16,1,40.0,-1,0,12700000,Марьино,Новомарьинская ,16К1,Братиславская,
